blockcollect,ID,condition,p,trialcollect
test,14,m1,7.424815991335025e-21,43
test,14,m1,1.1156524841035655e-19,44
test,14,m1,3.2314537224834093e-16,45
test,14,m1,1.8226127395495464e-17,46
test,14,m1,9.293883063546109e-17,47
test,14,m1,1.900778652703029e-20,48
test,14,m1,1.092982621895861e-15,49
test,14,m1,8.348773891864907e-16,50
test,14,m1,8.194234451174034e-17,51
test,14,m1,3.390356573992724e-17,52
test,14,m1,1.5145224382614748e-16,53
test,14,m1,2.509807591806755e-17,54
test,14,m1,4.063688210055789e-16,55
test,14,m1,9.164370270073048e-16,56
test,14,m1,2.3627206513882908e-17,57
test,14,m1,5.595921471969641e-15,58
test,14,m1,2.8180316898897793e-14,59
test,14,m1,6.049854657195954e-18,60
test,14,m1,1.8690263095880177e-14,61
test,14,m1,1.456462882529284e-15,62
test,14,m1,1.1488949755765417e-17,63
test,14,m1,1.0135350739639152e-16,64
train,17,m1,1.7232655347558577e-33,1
train,17,m1,1.626172858379793e-23,2
train,17,m1,4.5896197066861435e-21,3
train,17,m1,5.197724684399413e-21,4
train,17,m1,9.25124936310415e-20,5
train,17,m1,1.7735306544147324e-18,6
train,17,m1,3.861994776063514e-17,7
train,17,m1,1.6518623455627572e-16,8
train,17,m1,2.5936916468535126e-16,9
train,17,m1,1.4530973029924874e-15,10
train,17,m1,1.9114308276885092e-16,11
train,17,m1,3.5492406319585215e-15,12
train,17,m1,2.8830127965262823e-15,13
train,17,m1,7.151652698389748e-16,14
train,17,m1,1.0618845483912481e-15,15
train,17,m1,7.840093284649461e-17,16
train,17,m1,4.448168640913133e-16,17
train,17,m1,2.6806934713604355e-15,18
train,17,m1,2.6540309917632383e-15,19
train,17,m1,1.777244529928973e-15,20
train,17,m1,4.876332149047157e-16,21
train,17,m1,2.1229256637252678e-15,22
train,17,m1,2.039626114351675e-15,23
train,17,m1,4.8791931087056265e-15,24
train,17,m1,1.0298973020502551e-15,25
train,17,m1,6.888401422888452e-15,26
train,17,m1,6.959856314990547e-20,27
train,17,m1,2.4782028337810066e-15,28
train,17,m1,1.442051755132275e-16,29
train,17,m1,3.529410598046563e-17,30
train,17,m1,4.068834994001543e-15,31
train,17,m1,4.016048747761602e-15,32
train,17,m1,3.090982254966789e-15,33
train,17,m1,8.128346696352658e-15,34
train,17,m1,1.3049646342261887e-16,35
train,17,m1,5.236133639711536e-15,36
train,17,m1,7.017373094657115e-16,37
train,17,m1,9.061076719737754e-16,38
